2018-06-20 06:06:01 status unpacked libgcrypt20:armhf 1.6.5-2ubuntu0.5
2018-06-20 06:06:01 trigproc libc-bin:armhf 2.23-0ubuntu10 <none>
2018-06-20 06:06:01 status half-configured libc-bin:armhf 2.23-0ubuntu10
2018-06-20 06:06:01 status installed libc-bin:armhf 2.23-0ubuntu10
2018-06-20 06:06:01 startup packages configure
2018-06-20 06:06:01 configure libgcrypt20:armhf 1.6.5-2ubuntu0.5 <none>
2018-06-20 06:06:01 status triggers-pending libc-bin:armhf 2.23-0ubuntu10
2018-06-20 06:06:01 status unpacked libgcrypt20:armhf 1.6.5-2ubuntu0.5
2018-06-20 06:06:01 status half-configured libgcrypt20:armhf 1.6.5-2ubuntu0.5
2018-06-20 06:06:01 status installed libgcrypt20:armhf 1.6.5-2ubuntu0.5
2018-06-20 06:06:01 trigproc libc-bin:armhf 2.23-0ubuntu10 <none>
2018-06-20 06:06:01 status half-configured libc-bin:armhf 2.23-0ubuntu10
2018-06-20 06:06:01 status installed libc-bin:armhf 2.23-0ubuntu10
2018-06-20 06:06:01 startup packages configure
